age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
37,4,154641,7,12,2,4,0,4,1,2105,0,50,38,0
40,1,105862,9,13,0,9,4,4,0,5455,0,40,38,0
54,2,260052,12,14,2,9,0,4,1,0,0,40,38,1
55,2,354923,7,12,0,0,4,4,0,0,0,40,38,0
18,2,201901,11,9,4,5,3,4,0,0,1719,15,38,0
47,3,101926,9,13,0,3,1,4,1,0,0,70,38,1
27,2,36851,8,11,2,11,0,4,1,0,0,35,38,0
48,5,55863,10,16,2,9,5,4,0,0,1902,46,38,1
33,1,169652,8,11,4,0,3,4,1,0,1669,55,38,0
26,2,97698,12,14,4,3,1,4,1,0,0,32,38,0
55,2,173093,15,10,0,0,1,1,0,0,0,40,38,0
32,2,114288,11,9,0,9,3,4,0,0,0,40,38,0
27,0,148153,11,9,2,5,0,1,1,0,0,40,38,0
41,5,70884,11,9,2,12,0,4,1,0,0,40,38,0
45,4,204205,0,6,2,2,0,4,1,0,0,65,38,0
28,2,148645,11,9,4,6,3,4,0,0,0,40,38,0
40,2,163985,11,9,2,11,0,4,1,0,0,24,38,0
18,2,261720,11,9,4,0,1,4,0,0,0,40,38,0
81,4,193237,3,2,6,11,2,4,1,0,0,45,25,0
44,2,124924,11,9,2,3,0,4,1,0,0,40,25,0
41,2,350387,9,13,4,9,1,4,1,0,0,40,38,1
20,2,193586,15,10,4,9,1,4,0,0,0,18,38,0
41,2,267252,15,10,2,6,0,2,1,0,1902,40,38,1
62,1,114060,11,9,2,13,0,4,1,0,0,40,38,0
32,2,222205,15,10,2,9,5,4,0,0,0,40,38,1
36,2,35945,11,9,2,3,0,4,1,0,0,50,38,1
33,2,236396,9,13,2,11,0,4,1,0,1902,55,38,1
27,1,273929,11,9,4,4,3,4,1,0,0,40,38,0
41,2,59938,11,9,0,0,4,4,0,0,0,43,38,0
25,2,220098,11,9,4,7,3,4,1,0,0,30,38,0
36,2,208358,14,15,0,9,1,4,1,99999,0,45,38,1
22,2,445758,4,3,4,5,1,4,1,0,0,40,25,0
28,4,398918,9,13,4,9,1,4,1,0,0,50,38,1
50,2,121038,8,11,2,7,5,2,0,0,0,40,38,0
41,0,355918,11,9,2,12,0,4,1,0,0,40,38,1
39,2,278187,11,9,2,6,0,4,1,0,0,40,38,0
53,2,346253,11,9,0,11,3,4,0,0,0,35,38,0
26,2,143068,15,10,2,3,0,4,1,2407,0,50,38,0
62,5,198686,11,9,2,7,0,4,1,0,0,40,38,0
30,2,172403,11,9,0,2,1,4,1,0,0,30,38,0
51,4,156802,11,9,2,4,0,4,1,3103,0,60,38,1
49,2,278322,11,9,2,2,0,4,1,0,0,40,38,1
31,2,128220,5,4,6,0,1,4,0,0,0,35,38,0
20,2,117222,15,10,4,12,3,4,1,0,0,15,38,0
28,2,233275,9,13,4,9,1,4,1,0,0,45,38,0
39,2,37314,12,14,4,3,1,4,1,0,0,50,38,1
59,2,98361,15,10,2,2,0,4,1,0,0,40,38,1
26,2,28443,8,11,4,7,1,4,0,0,0,40,38,0
52,0,129177,11,9,0,0,1,4,0,0,0,40,38,0
46,1,375675,2,8,2,7,0,4,1,0,0,35,38,1
46,4,176863,11,9,2,3,0,4,1,0,0,40,38,0
51,1,548361,9,13,2,9,0,4,1,0,0,26,38,0
33,2,93056,5,4,0,5,3,4,1,0,0,40,38,0
52,0,312500,8,11,0,4,1,4,0,0,0,40,38,0
53,2,133436,5,4,0,6,1,4,0,0,0,40,38,0
25,2,324609,11,9,4,0,1,2,1,0,0,40,38,0
25,4,282631,11,9,2,2,0,4,1,0,0,40,38,0
17,2,99462,1,7,4,7,3,0,0,0,0,20,38,0
61,1,248595,3,2,2,7,0,4,1,0,0,40,25,0
37,0,334314,11,9,0,0,4,4,0,0,0,40,38,0
22,2,181773,11,9,4,13,3,2,1,0,0,40,38,0
67,2,105216,15,10,6,0,1,4,0,0,0,25,38,0
54,2,340476,11,9,5,11,4,4,0,0,0,35,38,0
31,2,80511,7,12,0,12,1,4,0,0,0,44,38,0
41,4,49572,15,10,2,3,0,4,1,0,0,60,38,0
33,2,222221,11,9,2,3,0,4,1,7298,0,45,38,1
25,2,32275,15,10,2,3,5,3,0,0,0,40,38,0
24,1,289886,1,7,4,7,1,1,1,0,0,45,38,0
20,2,108887,11,9,4,6,3,4,0,0,0,40,38,0
54,2,171924,9,13,2,12,0,4,1,0,0,48,38,0
18,2,192409,15,10,4,11,3,4,0,0,0,20,38,0
32,2,156015,9,13,4,9,1,4,1,0,0,40,38,0
31,2,54318,9,13,2,3,0,4,1,0,0,50,38,1
28,2,95566,3,2,3,7,3,3,0,0,0,35,5,0
22,2,187538,0,6,5,7,4,4,0,0,0,40,38,0
21,2,296158,11,9,4,7,3,4,1,0,0,40,38,0
31,2,291052,15,10,2,0,0,4,1,0,2051,40,38,0
21,2,203076,11,9,4,5,3,4,1,0,0,35,38,0
45,2,192053,11,9,2,3,0,4,1,0,0,60,38,1
44,2,167005,11,9,2,0,0,4,1,0,0,48,38,1
27,2,89598,15,10,4,0,4,4,0,0,0,60,38,0
57,2,194850,15,10,2,7,0,3,1,0,0,40,25,0
26,5,53903,11,9,4,2,4,4,1,0,0,50,38,0
36,2,201519,9,13,2,3,5,4,0,0,0,40,38,1
37,2,172232,11,9,0,7,1,2,0,0,0,30,38,0
52,2,224198,11,9,0,11,1,4,0,0,0,48,38,0
33,2,180551,15,10,5,0,4,4,0,0,0,40,38,0
31,2,47296,15,10,2,0,5,4,0,0,1740,20,38,0
44,1,145522,12,14,4,9,1,4,0,0,0,40,38,0
60,2,145664,15,10,0,11,1,4,0,0,0,48,38,0
28,2,96219,9,13,2,7,5,4,0,0,0,15,38,0
38,2,239397,5,4,2,2,0,4,1,0,0,36,25,0
21,2,27049,15,10,4,11,3,4,0,0,0,20,38,0
26,2,200681,11,9,4,6,3,4,1,0,0,40,38,0
56,2,134286,15,10,2,3,0,4,1,0,0,45,38,0
40,2,48612,11,9,4,0,4,2,0,0,0,35,38,0
43,1,188280,12,14,0,9,4,4,0,914,0,40,38,0
30,2,162572,9,13,4,3,1,4,1,0,0,70,38,1
25,2,144301,15,10,4,11,3,4,1,0,0,42,38,0
38,2,235379,7,12,4,9,4,4,0,0,0,36,38,0
47,2,27815,6,5,0,7,1,4,0,0,1719,30,38,0
35,4,238802,11,9,2,4,0,4,1,0,0,50,38,0
48,3,136878,11,9,2,2,0,4,1,0,0,60,38,1
62,2,174355,11,9,6,7,1,4,0,0,0,40,38,0
24,2,117167,15,10,4,7,1,4,0,0,0,53,38,0
50,1,163998,9,13,2,10,0,4,1,0,0,44,38,1
29,1,148182,11,9,2,13,0,2,1,0,0,40,38,0
65,4,22907,5,4,2,4,0,4,1,0,0,40,38,0
49,2,122177,11,9,4,5,3,4,1,0,0,80,38,0
29,2,205249,12,14,2,3,0,1,1,0,0,40,23,0
41,2,373469,7,12,2,6,0,4,1,0,0,40,38,0
42,2,175515,11,9,2,2,0,4,1,0,0,40,38,0
36,2,187167,7,12,2,11,5,4,0,0,0,40,38,0
65,2,212562,1,7,2,5,0,4,1,0,0,20,38,0
17,2,126779,1,7,4,7,3,2,1,0,0,20,38,0
26,2,102476,9,13,2,3,0,4,1,0,0,40,38,0
20,2,185554,15,10,4,0,3,4,0,0,0,25,38,0
35,2,343403,15,10,4,11,1,4,0,0,0,40,38,0
22,2,208946,15,10,4,11,3,4,1,0,0,40,38,0
54,2,146551,11,9,2,0,0,4,1,0,0,54,38,1
46,2,271828,11,9,2,6,0,4,1,0,0,40,38,1
38,2,103323,11,9,2,3,0,4,1,0,0,40,38,0
28,2,182344,11,9,4,7,1,2,1,0,0,40,38,0
36,4,151094,8,11,5,3,1,4,1,0,0,48,38,0
53,2,30447,11,9,0,6,1,4,1,0,0,50,38,0
24,2,314165,15,10,4,3,3,4,1,0,0,20,38,0
18,2,447882,15,10,4,0,1,4,0,0,0,20,38,0
41,2,223062,15,10,5,7,1,2,1,0,0,40,38,0
46,2,185673,11,9,0,13,1,4,1,0,0,40,38,0
54,4,52634,15,10,2,11,0,4,1,0,0,40,38,0
21,2,301199,15,10,4,6,3,4,0,0,0,40,38,0
49,2,61885,1,7,2,2,0,4,1,0,0,40,38,0
51,2,138358,0,6,0,2,1,2,0,0,0,35,38,0
47,2,117849,7,12,0,11,3,4,1,0,0,44,38,0
46,1,160187,12,14,6,3,4,2,0,0,0,35,38,0
54,2,235693,1,7,0,0,1,4,1,0,0,40,38,1
30,5,126414,9,13,3,0,1,4,1,0,0,40,38,0
25,2,441210,11,9,4,9,3,4,1,0,0,40,38,0
27,2,704108,12,14,4,9,1,4,1,0,0,40,38,0
22,2,214635,11,9,4,6,1,4,1,0,0,42,38,0
40,2,105936,11,9,2,11,5,4,0,5013,0,20,38,0
51,2,135190,5,4,5,6,1,2,0,0,0,30,38,0
26,2,224943,8,11,4,11,2,2,1,0,0,65,38,0
40,2,111067,9,13,2,5,0,4,1,0,0,80,38,1
49,2,237920,10,16,2,11,0,4,1,0,0,60,38,0
21,2,120326,15,10,4,0,3,4,0,0,0,40,38,0
27,3,399904,11,9,4,2,2,4,1,0,0,50,25,0
43,4,170230,9,13,4,11,1,4,0,0,0,60,38,0
28,5,288731,9,13,2,9,0,4,1,0,0,20,38,0
58,2,256274,11,9,0,0,1,4,0,0,0,40,38,0
40,2,210648,9,13,2,9,0,4,1,0,0,44,38,1
20,2,170038,11,9,4,11,1,4,0,0,0,40,38,0
22,2,148187,1,7,4,7,2,4,1,0,0,40,38,0
27,2,31757,8,11,4,2,3,4,1,0,0,38,38,0
44,2,103459,11,9,2,11,5,4,0,0,0,40,38,1
37,5,191841,9,13,4,0,1,4,0,8614,0,40,38,1
53,2,218311,11,9,0,11,1,4,0,0,0,35,38,0
66,2,166461,1,7,2,11,0,4,1,0,0,26,38,0
59,3,122390,15,10,2,3,0,4,1,0,1977,48,38,1
31,4,114639,8,11,2,2,0,4,1,0,0,50,38,0
59,2,216851,11,9,4,6,1,4,1,0,0,40,38,0
41,2,74775,9,13,2,7,0,1,1,0,0,30,39,0
26,2,142506,9,13,4,9,4,2,0,0,0,35,38,0
43,3,33729,9,13,2,11,0,4,1,0,0,45,38,1
25,2,169905,8,11,4,11,1,4,1,27828,0,40,38,1
18,2,240747,11,9,4,6,3,4,0,0,0,40,5,0
24,2,82777,11,9,5,6,1,4,1,0,0,40,38,0
42,2,190767,8,11,0,12,4,4,0,0,0,40,38,0
25,2,430084,15,10,4,13,1,2,1,0,0,40,38,0
26,2,117833,9,13,4,3,1,4,0,0,1669,50,38,0
38,5,255191,11,9,4,7,1,4,1,0,0,40,38,0
48,2,186539,15,10,2,9,0,4,1,0,0,40,38,0
62,5,265201,9,13,0,9,1,4,1,0,0,40,38,0
22,4,214014,15,10,4,11,3,2,1,99999,0,55,38,1
36,2,246449,15,10,2,3,0,4,1,0,0,60,38,1
64,5,194894,10,16,4,9,1,4,0,4787,0,40,38,1
24,5,413345,15,10,2,9,5,4,0,0,0,50,38,0
28,2,339372,9,13,4,0,1,4,1,0,1408,40,38,0
66,2,169804,9,13,2,11,0,4,1,20051,0,40,38,1
19,2,356272,15,10,4,0,1,4,0,0,0,25,38,0
26,2,262617,11,9,4,2,2,4,1,2597,0,40,38,0
37,1,218184,9,13,2,9,0,4,1,0,1887,40,38,1
47,2,217161,11,9,0,7,1,2,0,0,0,14,38,0
27,2,160786,11,9,0,7,1,4,1,0,0,30,38,0
62,4,162249,11,9,2,13,0,4,1,0,0,30,38,0
27,2,347153,15,10,4,13,2,4,1,0,0,40,38,0
27,2,236481,14,15,4,9,1,1,1,0,0,10,18,0
23,2,96635,15,10,4,6,3,1,1,0,0,30,38,0
35,1,145308,15,10,2,7,0,4,1,0,0,40,38,0
29,0,196912,9,13,4,9,1,2,1,0,0,40,38,0
35,2,62333,9,13,4,9,1,4,0,0,0,40,38,0
20,2,293726,15,10,4,2,1,4,1,0,0,40,38,0
20,2,50397,15,10,2,11,0,2,1,0,0,35,38,0
23,2,156807,6,5,4,5,3,2,1,0,0,36,38,0
51,2,183709,8,11,5,9,4,4,0,0,0,40,38,0
63,4,298249,9,13,2,11,0,4,1,10605,0,40,38,1
33,2,207937,11,9,4,2,1,4,1,0,1092,40,38,0
44,2,59474,11,9,2,13,0,4,1,0,0,40,38,1
35,2,56201,15,10,2,4,0,4,1,0,0,40,25,0
35,2,169672,1,7,2,11,0,4,1,0,0,65,38,0
28,2,266070,15,10,4,3,1,4,0,0,0,40,38,0
36,2,361888,11,9,2,13,0,4,1,0,0,45,38,1
23,2,142766,15,10,4,0,1,4,1,0,0,20,38,0
23,2,209770,11,9,4,0,3,4,0,0,0,40,38,0
31,1,226494,9,13,4,9,1,4,1,0,0,45,38,0
25,2,323545,11,9,4,12,1,2,0,0,0,40,38,0
45,2,97842,15,10,2,6,0,4,1,0,0,65,38,0
35,4,264627,1,7,0,3,4,4,0,0,0,84,38,0
53,2,288353,9,13,2,3,0,4,1,0,0,40,38,1
37,2,305259,7,12,0,3,1,4,0,0,0,48,38,0
39,2,179016,11,9,4,6,1,2,1,0,0,40,38,0
58,2,205896,11,9,0,11,2,4,0,0,0,40,38,0
32,2,180603,9,13,2,11,0,4,1,0,0,40,38,1
51,2,117253,11,9,6,9,4,4,0,0,0,40,38,0
49,2,140121,11,9,0,3,4,4,1,0,0,50,38,0
27,2,39232,11,9,2,2,0,4,1,0,0,40,38,0
51,2,161838,8,11,2,2,0,4,1,0,0,57,38,0
20,2,188612,15,10,4,0,3,4,0,0,0,38,26,0
38,2,168407,15,10,0,0,4,4,0,5721,0,44,38,0
63,2,361631,12,14,5,9,1,4,0,0,0,40,38,1
43,4,272165,6,5,2,2,0,4,1,0,0,40,38,0
60,2,202226,15,10,0,2,3,4,1,0,0,44,38,1
20,2,114874,15,10,4,0,3,4,1,0,0,30,38,0
35,2,243357,1,7,5,7,4,2,0,0,0,40,38,0
21,2,121407,8,11,4,7,3,4,0,0,0,36,38,0
26,2,456618,11,9,4,7,1,4,1,0,0,40,25,0
41,2,266530,11,9,2,7,0,0,1,0,0,45,38,0
20,2,180052,15,10,4,11,3,4,1,0,0,20,38,0
37,2,162424,11,9,2,2,0,4,1,0,0,45,38,0
34,2,96480,15,10,5,3,4,4,0,0,0,40,38,0
51,1,186416,9,13,0,0,1,4,0,0,0,40,38,0
48,2,164966,9,13,2,3,0,1,1,0,0,40,18,1
59,2,157932,0,6,2,2,0,4,1,0,0,40,38,1
44,2,157249,9,13,2,9,0,2,1,0,1977,50,38,1
53,2,283602,9,13,0,11,1,4,0,13550,0,43,38,1
48,5,99086,9,13,4,3,1,4,0,0,0,50,38,0
19,2,406078,15,10,4,0,3,4,0,0,0,25,38,0
22,2,231085,15,10,4,7,3,4,1,0,0,30,38,0
19,2,552354,2,8,4,6,3,4,1,0,0,40,38,0
25,2,126974,11,9,4,2,3,4,1,0,0,40,38,0
30,1,181091,9,13,2,10,0,4,1,0,0,40,38,0
39,2,38721,11,9,0,8,4,4,0,0,0,22,38,0
44,2,162028,1,7,0,11,4,4,0,0,0,44,38,0
50,2,92969,3,2,5,9,4,2,0,0,0,40,38,0
30,2,189620,9,13,4,9,3,4,0,0,0,40,30,0
24,1,249101,11,9,0,10,4,2,0,0,0,40,38,0
60,2,296485,4,3,2,13,0,4,1,0,0,40,38,0
60,2,338345,11,9,2,2,0,4,1,0,0,45,38,1
52,2,95128,15,10,0,11,1,4,1,0,0,50,38,0
42,5,190044,9,13,2,3,0,4,1,15024,0,50,38,1
49,2,71195,12,14,4,9,1,4,1,0,0,60,38,0
27,2,327766,15,10,0,2,1,4,1,0,0,45,38,0
46,2,188325,11,9,2,7,0,4,1,0,0,40,38,0
41,2,106900,9,13,2,12,0,4,1,0,0,38,38,0
29,2,77572,7,12,4,0,1,1,0,0,0,40,38,0
25,5,157617,11,9,4,3,1,4,1,0,0,40,38,0
36,2,178815,9,13,4,3,1,4,1,8614,0,40,38,1
35,2,267866,11,9,2,11,0,1,1,0,1887,50,19,1
36,2,237943,12,14,2,3,0,4,1,15024,0,50,38,1
50,2,98215,11,9,0,7,1,4,1,0,0,40,38,0
28,2,73037,0,6,4,13,4,4,1,0,0,30,38,0
53,0,167380,11,9,2,13,0,4,1,0,1740,50,38,0
22,2,270436,11,9,4,7,3,4,1,0,0,40,38,0
46,2,118419,11,9,0,6,4,4,1,0,0,38,38,0
45,5,37672,8,11,0,12,4,4,0,0,0,40,38,0
26,2,371556,15,10,4,0,1,4,0,0,0,40,38,0
25,2,201737,15,10,0,0,4,4,0,0,0,40,38,0
49,1,268234,11,9,2,10,0,4,1,0,0,40,38,1
27,2,155382,15,10,4,7,1,4,0,0,0,25,38,0
54,2,202415,11,9,2,2,0,4,1,0,0,40,38,1
23,2,284898,15,10,4,3,3,4,1,0,0,30,38,0
42,2,230624,0,6,4,13,4,4,1,0,0,40,38,1
28,2,98010,15,10,3,0,3,4,0,0,0,40,38,0
54,2,203635,11,9,2,0,0,4,1,7298,0,60,38,1
19,2,164395,11,9,4,0,3,4,0,0,0,25,38,0
36,2,306567,11,9,2,13,5,4,0,0,0,40,38,1
39,2,99270,9,13,2,9,5,4,0,0,0,50,10,1
39,2,148015,11,9,4,6,1,2,0,0,0,52,38,0
44,5,144125,9,13,0,9,1,4,0,0,0,40,38,0
27,2,387776,15,10,4,7,3,4,1,0,0,40,38,0
46,2,52291,9,13,2,9,0,4,1,7688,0,45,38,1
58,5,136982,11,9,3,7,4,2,0,0,0,40,15,0
38,0,137953,11,9,2,0,0,4,1,0,0,45,38,0
57,1,190561,11,9,0,5,1,2,0,0,0,30,38,0
41,2,207578,11,9,2,13,0,4,1,0,0,40,38,1
37,2,294292,14,15,2,3,0,4,1,0,0,40,38,0
19,2,148392,11,9,4,0,3,4,1,0,0,30,38,0
30,2,377017,15,10,2,5,0,4,1,0,0,32,38,0
64,3,307786,3,2,2,11,0,4,1,0,0,20,38,0
24,2,228424,11,9,4,5,2,2,1,0,0,40,38,0
26,2,158846,11,9,2,6,0,4,1,0,0,45,38,0
50,4,124793,11,9,2,2,0,4,1,0,0,30,38,0
45,2,31339,9,13,2,0,0,4,1,0,0,45,38,1
24,2,100345,9,13,4,9,3,4,1,0,0,20,38,0
44,3,37997,11,9,2,4,0,4,1,0,0,60,38,0
34,1,303867,6,5,4,7,3,4,1,0,0,40,38,0
64,4,177825,11,9,4,7,1,4,1,1055,0,40,38,0
54,2,135803,9,13,2,3,0,1,1,15024,0,60,34,1
32,2,170154,7,12,5,3,4,4,0,25236,0,50,38,1
22,2,29810,15,10,4,13,3,4,0,0,0,30,38,0
23,1,203078,15,10,2,10,0,2,1,0,0,40,38,0
63,2,43313,0,6,2,2,0,4,1,0,0,40,38,0
36,2,257380,11,9,2,2,0,2,1,0,0,35,38,0
28,4,33035,2,8,0,7,4,4,0,0,0,30,38,0
44,2,165492,15,10,2,11,0,4,1,0,0,40,38,1
46,2,105327,11,9,0,2,1,4,1,0,0,40,38,0
56,0,156842,15,10,5,7,1,2,1,0,0,40,38,0
57,2,372967,0,6,0,0,2,4,0,0,0,70,10,0
21,2,237051,15,10,4,7,3,4,0,0,0,25,38,0
39,2,168894,15,10,4,0,1,4,0,0,0,40,38,0
68,4,197015,11,9,2,4,0,4,1,0,0,45,38,0
24,2,140001,9,13,4,3,1,4,1,0,0,40,38,0
34,2,167781,11,9,2,7,0,4,1,0,0,50,38,0
32,2,116539,9,13,2,3,0,4,1,0,1887,55,38,1
18,2,257980,11,9,4,6,1,4,1,0,0,40,38,0
44,2,247880,8,11,0,3,1,4,1,8614,0,40,38,1
26,2,112754,8,11,2,2,0,4,1,0,0,65,38,1
28,2,54042,8,11,4,7,1,4,0,2463,0,35,38,0
28,2,108574,15,10,2,0,5,4,0,0,0,15,38,0
36,2,52327,12,14,2,9,0,3,1,0,0,40,19,1
34,2,226883,11,9,0,2,1,4,1,0,0,40,38,0
85,2,98611,9,13,2,3,0,4,1,0,0,3,30,0
20,2,318036,11,9,4,7,1,4,1,0,0,40,38,0
43,2,184018,7,12,2,9,0,4,1,0,0,50,38,0
51,2,53833,11,9,2,9,0,4,1,0,0,46,38,1
58,4,331474,11,9,2,0,5,4,0,0,0,20,38,1
32,2,271276,11,9,2,13,0,4,1,0,0,80,38,1
34,2,202498,2,8,2,7,0,4,1,0,0,40,5,0
29,4,267661,11,9,2,4,0,4,1,0,0,70,38,0
48,2,159726,11,9,2,13,0,4,1,0,0,55,38,1
26,2,197967,11,9,2,11,0,4,1,0,0,65,38,0
40,2,103789,7,12,0,0,4,2,0,0,0,32,38,0
32,1,19302,7,12,2,10,0,4,1,0,0,56,8,1
39,2,191002,11,9,4,11,1,4,0,0,0,40,30,0
34,4,114691,11,9,2,9,0,4,1,0,0,40,38,1
49,2,23074,15,10,6,3,1,4,0,0,0,40,38,1
29,4,77207,12,14,2,2,0,4,1,0,0,30,38,0
18,2,436163,1,7,4,9,3,4,1,0,0,20,38,0
49,1,106554,9,13,0,9,4,4,0,0,0,40,38,1
63,2,188914,11,9,6,6,2,2,0,0,0,40,13,0
38,2,65466,9,13,4,0,1,4,0,0,0,50,38,0
50,5,229272,11,9,2,2,0,2,1,0,0,40,38,1
60,4,78913,15,10,2,3,0,4,1,0,0,50,38,0
29,2,200515,15,10,2,6,0,4,1,0,0,38,38,0
23,2,203076,15,10,4,6,3,4,1,0,0,40,38,0
35,2,184117,9,13,4,0,3,4,0,0,0,40,38,0
25,2,189775,15,10,3,0,3,2,0,0,0,20,38,0
37,2,241998,9,13,2,12,0,4,1,0,1977,40,38,1
39,4,124090,6,5,2,2,0,4,1,0,0,40,38,0
34,5,189843,11,9,2,0,0,4,1,0,0,40,38,0
65,2,172815,15,10,2,4,0,4,1,0,0,40,38,0
78,2,135566,11,9,6,11,4,4,0,2329,0,12,38,0
35,2,413648,4,3,4,4,4,4,1,0,0,36,38,0
29,4,189346,15,10,0,2,1,4,1,2202,0,50,38,0
41,1,384236,8,11,4,7,1,4,1,0,0,40,38,0
27,2,61580,15,10,0,0,2,4,0,0,0,40,38,0
39,2,58972,7,12,0,3,4,4,1,1506,0,40,38,0
23,2,53245,6,5,5,7,1,4,1,0,0,40,38,0
27,5,21306,7,12,4,0,1,4,0,0,0,40,10,0
28,2,183151,11,9,2,2,0,4,1,0,0,50,38,0
30,4,148959,15,10,0,2,1,4,1,0,0,35,38,0
24,2,103064,11,9,4,11,3,4,0,0,0,55,38,0
52,2,167527,1,7,6,7,4,2,0,0,0,40,38,0
30,2,156025,11,9,0,3,4,4,0,0,0,40,38,0
49,4,219718,9,13,2,11,0,4,1,15024,0,40,38,1
18,2,347336,2,8,4,7,3,4,1,0,0,12,38,0
34,2,561334,15,10,2,3,0,4,1,0,0,50,38,1
46,2,169699,11,9,2,2,0,4,1,0,0,40,38,0
42,2,196797,11,9,4,13,4,2,0,0,0,38,38,0
61,2,35649,15,10,2,7,0,4,1,0,0,6,38,0
51,2,311350,9,13,2,3,0,4,1,0,0,40,38,1
33,4,155343,15,10,4,4,1,4,1,0,0,72,38,0
44,2,188436,9,13,2,0,0,4,1,0,0,45,38,0
51,2,171409,15,10,2,13,0,4,1,0,0,40,38,1
26,2,463194,11,9,2,2,0,4,1,0,0,40,38,0
46,2,163229,5,4,2,13,0,4,1,0,0,40,38,0
25,5,120041,9,13,4,9,1,4,0,0,0,40,38,0
22,2,400966,15,10,4,0,3,4,0,0,0,40,38,0
24,2,399449,9,13,4,11,3,4,0,0,0,40,38,0
41,2,138907,11,9,0,8,2,2,0,0,0,40,38,0
44,2,79531,8,11,2,2,0,4,1,0,0,40,38,1
59,2,169639,7,12,6,3,4,4,0,0,0,40,38,0
29,2,446559,7,12,2,3,5,4,0,0,0,50,38,0
41,2,121718,15,10,2,2,0,4,1,0,0,40,21,0
45,2,44489,11,9,2,13,0,4,1,0,0,45,38,0
62,4,224520,11,9,2,11,0,4,1,0,0,90,38,1
21,2,174907,11,9,4,0,3,4,0,0,0,40,38,0
19,4,47176,15,10,4,2,1,4,0,0,0,15,38,0
53,2,276515,9,13,4,3,3,4,1,0,0,40,4,0
24,5,163480,12,14,4,0,1,2,0,0,0,40,38,0
25,2,25386,8,11,4,7,4,0,0,0,0,40,38,0
27,2,230959,9,13,4,12,3,1,0,0,0,40,29,0
37,3,162164,11,9,2,2,0,4,1,0,0,40,38,0
22,2,51111,15,10,4,11,1,4,0,0,0,40,38,0
54,1,29887,11,9,2,3,0,4,1,0,0,56,38,0
31,2,106437,11,9,4,0,1,4,0,0,0,40,38,0
35,2,267891,11,9,2,7,5,4,0,0,0,38,38,0
54,2,28518,11,9,2,11,0,4,1,0,0,50,38,1
43,2,972354,15,10,2,7,0,4,1,0,0,48,38,0
18,2,51255,1,7,4,5,3,4,1,0,0,15,38,0
37,2,334291,9,13,4,3,1,4,1,0,0,50,38,0
29,2,126060,11,9,2,11,5,4,0,0,0,40,38,1
18,2,240330,2,8,4,7,3,4,1,0,0,18,38,0
27,2,224105,11,9,2,6,0,4,1,7298,0,40,38,1
30,5,46144,11,9,1,0,3,4,0,0,0,38,38,0
38,2,198216,15,10,0,3,4,4,0,0,0,40,38,0
29,2,228346,8,11,4,2,1,4,1,0,0,50,38,0
33,4,199539,11,9,2,13,0,4,1,0,0,65,38,0
30,2,174789,11,9,2,11,0,4,1,0,0,40,38,0
